"id","event","probability"
"sub-01","1",14.51291115316
"sub-01","2",15.0488762269234
"sub-01","none",6.78754407119385
"sub-02","1",16.9140612421093
"sub-02","2",17.2429431759373
"sub-02","none",8.40155818915391
"sub-03","1",17.1305252949452
"sub-03","2",13.9642550089114
"sub-03","none",10.7081467035784
"sub-04","1",20.4216744245591
"sub-04","2",17.3980487592773
"sub-04","none",11.4216917889452
"sub-05","1",13.3054284169172
"sub-05","2",13.3742226134126
"sub-05","none",7.41987472868523
"sub-06","1",14.5877450941465
"sub-06","2",12.1895824416069
"sub-06","none",12.247145977563
"sub-07","1",10.9392681827318
"sub-07","2",15.4713503936385
"sub-07","none",8.92991587111569
"sub-08","1",12.0613253656033
"sub-08","2",13.3331700069978
"sub-08","none",10.2091724732807
"sub-09","1",12.861405997781
"sub-09","2",18.9382274095705
"sub-09","none",9.89195176784187
"sub-10","1",16.9190852416478
"sub-10","2",17.3220180473279
"sub-10","none",12.263637529308
"sub-11","1",12.4484802011253
"sub-11","2",29.1548619795412
"sub-11","none",12.8553171727249
"sub-12","1",11.92778077259
"sub-12","2",19.1000939830109
"sub-12","none",11.517402340597
"sub-13","1",13.7213037167805
"sub-13","2",12.8216873526518
"sub-13","none",9.9904151710886
"sub-14","1",10.6796758130995
"sub-14","2",21.620547883239
"sub-14","none",12.5292840870459
"sub-15","1",13.3657139480152
"sub-15","2",15.4792668576323
"sub-15","none",9.70188568412197
"sub-16","1",19.1927386514012
"sub-16","2",27.0957278471788
"sub-16","none",13.3224801261649
"sub-17","1",13.7802473656741
"sub-17","2",18.1888069543573
"sub-17","none",4.40243997671515
"sub-18","1",12.6376508376207
"sub-18","2",20.1174756740147
"sub-18","none",10.3637570196395
"sub-19","1",17.973217997575
"sub-19","2",14.7266807705538
"sub-19","none",12.7904376237878
"sub-20","1",13.1773495715843
"sub-20","2",9.04804794157375
"sub-20","none",12.1109208415812
"sub-21","1",8.77214410948586
"sub-21","2",22.5951880257571
"sub-21","none",12.0423282064145
"sub-22","1",10.2076124951326
"sub-22","2",13.8642458663687
"sub-22","none",5.35819032543668
"sub-23","1",11.8821769702905
"sub-23","2",14.7941691924886
"sub-23","none",8.93670608188103
"sub-25","1",8.03076320376561
"sub-25","2",20.1433395366842
"sub-25","none",8.21954904598932
"sub-26","1",12.7973644447327
"sub-26","2",12.4407659292093
"sub-26","none",8.38518150786073
"sub-27","1",11.0392154579636
"sub-27","2",17.1966106416807
"sub-27","none",6.26533689947011
"sub-28","1",22.8591507330463
"sub-28","2",18.2702170801934
"sub-28","none",12.0131140246879
"sub-29","1",21.6747797429584
"sub-29","2",16.2166302195737
"sub-29","none",9.99365041586728
"sub-30","1",16.6039321911228
"sub-30","2",11.8005146946439
"sub-30","none",8.64326774421392
"sub-32","1",13.687919648737
"sub-32","2",11.4528297796215
"sub-32","none",13.8983466448562
"sub-33","1",20.5618555544468
"sub-33","2",21.0816135333507
"sub-33","none",8.82343668606919
"sub-34","1",19.0362479403204
"sub-34","2",17.6406794735346
"sub-34","none",12.9355953601176
"sub-35","1",17.2142436621053
"sub-35","2",16.285072311098
"sub-35","none",9.33452306525988
"sub-36","1",11.9594279376534
"sub-36","2",18.5910905312779
"sub-36","none",8.59326206794792
"sub-38","1",12.9366878258929
"sub-38","2",10.7407619457114
"sub-38","none",8.20909345840051
"sub-39","1",11.4280048431486
"sub-39","2",17.6044051332702
"sub-39","none",8.32918865050503
