"id","event","probability"
"sub-01","1",24.2071965712073
"sub-01","2",27.1613304146737
"sub-01","none",4.20089240729398
"sub-02","1",19.0367134050914
"sub-02","2",29.2935822140122
"sub-02","none",7.89118756311857
"sub-03","1",19.704347179742
"sub-03","2",21.8757798989293
"sub-03","none",9.30484824481141
"sub-04","1",23.6095105400523
"sub-04","2",30.5672735030638
"sub-04","none",6.40819387760699
"sub-05","1",18.1764734174059
"sub-05","2",21.3848279752857
"sub-05","none",5.65842431766741
"sub-06","1",19.1750731971098
"sub-06","2",18.0917922723729
"sub-06","none",8.90404796053597
"sub-07","1",17.1655588929526
"sub-07","2",27.7099338014457
"sub-07","none",6.80409627097299
"sub-08","1",14.695983021587
"sub-08","2",17.8015579836338
"sub-08","none",9.97939782392591
"sub-09","1",20.3229666974282
"sub-09","2",28.4909202751526
"sub-09","none",8.01987415281412
"sub-10","1",19.4679797442697
"sub-10","2",28.9445822436843
"sub-10","none",7.82295938446794
"sub-11","1",16.3869593231751
"sub-11","2",30.8855839294068
"sub-11","none",9.8729650206741
"sub-12","1",19.0886919762026
"sub-12","2",25.674956383575
"sub-12","none",8.74824146334471
"sub-13","1",26.4387240372539
"sub-13","2",13.6612720023071
"sub-13","none",10.8610434751929
"sub-14","1",16.0549235584552
"sub-14","2",28.5663708789634
"sub-14","none",10.8348674595132
"sub-15","1",12.265737242819
"sub-15","2",24.3217361386107
"sub-15","none",6.48752109145627
"sub-16","1",22.7514822789096
"sub-16","2",29.2114492617407
"sub-16","none",10.1776166628544
"sub-17","1",21.8171849009477
"sub-17","2",30.7154676070217
"sub-17","none",3.74179189527705
"sub-18","1",19.1033766931319
"sub-18","2",30.2448386917905
"sub-18","none",8.93582271396748
"sub-19","1",30.229873887791
"sub-19","2",25.583551421286
"sub-19","none",8.74332693747899
"sub-20","1",17.3708350944425
"sub-20","2",13.2807882271754
"sub-20","none",10.50472369823
"sub-21","1",11.5848479698265
"sub-21","2",32.3419535619432
"sub-21","none",9.4906126294487
"sub-22","1",16.6245261955155
"sub-22","2",21.7602663979189
"sub-22","none",2.96879792369163
"sub-23","1",20.5154685920863
"sub-23","2",23.7278548125426
"sub-23","none",6.36317962260588
"sub-25","1",6.94713236584189
"sub-25","2",34.3155655931826
"sub-25","none",6.49001822279562
"sub-26","1",22.5439810901944
"sub-26","2",18.9055870169717
"sub-26","none",6.22015382725162
"sub-27","1",16.5724130743032
"sub-27","2",26.7471108117079
"sub-27","none",3.96573418807812
"sub-28","1",36.4167935214095
"sub-28","2",24.9383853436924
"sub-28","none",8.04205246714821
"sub-29","1",19.1576601640473
"sub-29","2",21.3071498031131
"sub-29","none",8.46909850276123
"sub-30","1",24.8441295880958
"sub-30","2",16.0677066554535
"sub-30","none",6.92762705469061
"sub-32","1",21.2184500350656
"sub-32","2",16.9281705014266
"sub-32","none",10.7586283792439
"sub-33","1",31.0126197891174
"sub-33","2",31.7090880531431
"sub-33","none",5.75938551577301
"sub-34","1",22.9276361069257
"sub-34","2",23.9718066492547
"sub-34","none",13.2995253578282
"sub-35","1",26.8772717448175
"sub-35","2",24.8024563614852
"sub-35","none",9.3809742751505
"sub-36","1",18.1810459561504
"sub-36","2",25.622818728963
"sub-36","none",5.62105633819894
"sub-38","1",18.1936033570414
"sub-38","2",20.6664927860247
"sub-38","none",5.47527658042748
"sub-39","1",15.9977392637156
"sub-39","2",24.6339927436968
"sub-39","none",4.78777172332473
